subgroup,model,metric,point,ci_low,ci_high,delong_p
26-34 Years Old,FAIR-PLR,tpr_top5,0.3803191489361702,0.35815602836879434,0.4024822695035461,
26-34 Years Old,FAIR-PLR,precision_top1,0.5714285714285714,0.5,0.6428571428571429,
26-34 Years Old,FAIR-PLR,precision_top5,0.47194719471947194,0.4444444444444444,0.49944994499449946,
26-34 Years Old,Standard-LR,auc,0.8780584976355871,0.8667521172314004,0.8887788237591773,0.6236917435574232
26-34 Years Old,Standard-LR,tpr_top1,0.08953900709219859,0.07712765957446809,0.10017730496453901,
26-34 Years Old,Standard-LR,tpr_top5,0.37943262411347517,0.3563608156028369,0.3998448581560283,
26-34 Years Old,Standard-LR,precision_top1,0.554945054945055,0.47802197802197804,0.6208791208791209,
26-34 Years Old,Standard-LR,precision_top5,0.47084708470847086,0.44221672167216725,0.4961771177117712,
26-34 Years Old,Pooled-EN-no-weight,auc,0.8788263597194743,0.8678362520518278,0.8894913567080465,0.01700527623578396
26-34 Years Old,Pooled-EN-no-weight,tpr_top1,0.09042553191489362,0.07890070921985816,0.10106382978723404,
26-34 Years Old,Pooled-EN-no-weight,tpr_top5,0.3829787234042553,0.35904255319148937,0.40425531914893614,
26-34 Years Old,Pooled-EN-no-weight,precision_top1,0.5604395604395604,0.489010989010989,0.6263736263736264,
26-34 Years Old,Pooled-EN-no-weight,precision_top5,0.4752475247524752,0.44554455445544555,0.5016501650165016,
26-34 Years Old,Decision-Tree,auc,0.8740031601788341,0.8627959163426391,0.885044564840878,0.09847525606821828
26-34 Years Old,Decision-Tree,tpr_top1,0.08599290780141844,0.11170212765957446,0.13386524822695037,
26-34 Years Old,Decision-Tree,tpr_top5,0.374113475177305,0.3554964539007092,0.4015957446808511,
26-34 Years Old,Decision-Tree,precision_top1,0.532967032967033,0.6923076923076923,0.8296703296703297,
26-34 Years Old,Decision-Tree,precision_top5,0.46424642464246424,0.44114411441144114,0.49834983498349833,
35-49 Years Old,FAIR-PLR,auc,0.8849798448416599,0.8742206388184105,0.896567913955308,
35-49 Years Old,FAIR-PLR,tpr_top1,0.12022367194780988,0.10624417520969245,0.1342031686859273,
35-49 Years Old,FAIR-PLR,tpr_top5,0.43709226467847156,0.4119291705498602,0.46505125815470644,
35-49 Years Old,FAIR-PLR,precision_top1,0.5397489539748954,0.4769874476987448,0.602510460251046,
35-49 Years Old,FAIR-PLR,precision_top5,0.3927973199329983,0.37018425460636517,0.41792294807370184,
35-49 Years Old,Standard-LR,auc,0.8849769034668147,0.8738925473486793,0.8961502606854734,0.997083282363465
35-49 Years Old,Standard-LR,tpr_top1,0.12022367194780988,0.10624417520969245,0.13329450139794966,
35-49 Years Old,Standard-LR,tpr_top5,0.4380242311276794,0.412861136999068,0.4641192917054986,
35-49 Years Old,Standard-LR,precision_top1,0.5397489539748954,0.4769874476987448,0.5984309623430961,
35-49 Years Old,Standard-LR,precision_top5,0.3936348408710218,0.3710217755443886,0.41708542713567837,
35-49 Years Old,Pooled-EN-no-weight,auc,0.8845494849346254,0.873606015054365,0.8962225985911059,0.4893888741499697
35-49 Years Old,Pooled-EN-no-weight,tpr_top1,0.12022367194780988,0.10717614165890028,0.13606710158434296,
35-49 Years Old,Pooled-EN-no-weight,tpr_top5,0.43709226467847156,0.41190587138863005,0.4641192917054986,
35-49 Years Old,Pooled-EN-no-weight,precision_top1,0.5397489539748954,0.4811715481171548,0.6108786610878661,
35-49 Years Old,Pooled-EN-no-weight,precision_top5,0.3927973199329983,0.37016331658291457,0.41708542713567837,
35-49 Years Old,Decision-Tree,auc,0.8828849323130411,0.8717469139769188,0.8947308772744438,0.2814467118499464
35-49 Years Old,Decision-Tree,tpr_top1,0.1211556383970177,0.11463187325256291,0.15377446411929171,
35-49 Years Old,Decision-Tree,tpr_top5,0.42311276794035413,0.4175209692451072,0.4771668219944082,
35-49 Years Old,Decision-Tree,precision_top1,0.5439330543933054,0.5146443514644351,0.6903765690376569,
35-49 Years Old,Decision-Tree,precision_top5,0.38023450586264657,0.37520938023450584,0.4288107202680067,
50-64 Years Old,FAIR-PLR,auc,0.8668178662801584,0.846266551521152,0.8863027433444753,
50-64 Years Old,FAIR-PLR,tpr_top1,0.11229946524064172,0.08823529411764706,0.13903743315508021,
50-64 Years Old,FAIR-PLR,tpr_top5,0.47593582887700536,0.42774064171122994,0.5187165775401069,
50-64 Years Old,FAIR-PLR,precision_top1,0.3925233644859813,0.308411214953271,0.48598130841121495,
50-64 Years Old,FAIR-PLR,precision_top5,0.332089552238806,0.29846082089552234,0.3619402985074627,
50-64 Years Old,Standard-LR,auc,0.8701338605404701,0.8495662483718754,0.8894855844384925,0.28332495493689147
