Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Top 1% Risk,BMI,Overweight,265,0.532,0.662,8.251,44.151,8.251,0.562,0.341,30,0.256,29,0.196,87,0.744
Top 5% Risk,BMI,Overweight,1327,0.583,0.592,32.863,35.117,32.863,0.65,0.114,30,0.064,29,0.034,436,0.936
Overall,BMI,Healthy,29570,0.675,0.253,100.0,6.466,100.0,0.936,0.035,34,0.018,23,0.001,1878,0.982
Top 1% Risk,BMI,Healthy,295,0.571,0.687,7.897,51.186,7.897,0.525,0.327,34,0.225,23,0.16,117,0.775
Top 5% Risk,BMI,Healthy,1478,0.595,0.636,31.851,41.204,31.851,0.595,0.102,34,0.056,23,0.026,575,0.944
Overall,BMI,Unknown,4218,0.688,0.244,100.0,5.903,100.0,0.94,0.045,6,0.024,9,0.002,243,0.976
Top 1% Risk,BMI,Unknown,42,0.501,0.724,7.631,45.238,7.631,0.476,0.353,6,0.316,9,0.391,13,0.684
Top 5% Risk,BMI,Unknown,210,0.596,0.602,29.317,34.762,29.317,0.638,0.136,6,0.082,9,0.066,67,0.918
Overall,BMI,Severe Obesity,5112,0.742,0.305,100.0,9.155,100.0,0.907,0.099,26,0.056,33,0.007,442,0.944
Top 1% Risk,BMI,Severe Obesity,51,0.508,0.754,4.701,43.137,4.701,0.431,0.603,22,1.0,29,1.0,0,0.0
Top 5% Risk,BMI,Severe Obesity,255,0.504,0.719,26.709,49.02,26.709,0.482,0.283,26,0.208,33,0.254,99,0.792
Overall,BMI,Obesity,22847,0.701,0.259,100.0,6.806,100.0,0.933,0.047,38,0.024,19,0.001,1517,0.976
Top 1% Risk,BMI,Obesity,228,0.566,0.659,7.588,51.754,7.588,0.566,0.434,38,0.322,19,0.173,80,0.678
Top 5% Risk,BMI,Obesity,1142,0.586,0.638,31.125,42.382,31.125,0.593,0.14,38,0.079,19,0.029,446,0.921
Overall,BMI,Underweight,2167,0.735,0.278,100.0,8.03,100.0,0.923,0.144,14,0.08,7,0.004,160,0.92
Top 1% Risk,BMI,Underweight,21,0.684,0.576,8.046,66.667,8.046,0.667,0.8,14,1.0,7,1.0,0,0.0
Top 5% Risk,BMI,Underweight,108,0.705,0.601,26.437,42.593,26.437,0.639,0.418,14,0.304,7,0.113,32,0.696
